id,name,price,color,url
1,White Blue Diamond Earring Pendant Necklace Set,2625,blue,https://www.houseofindya.com/white-blue-diamond-earring-pendant-necklace-set-290/iprdt
2,Gold Kundan Multicolor Stone Earring Necklace Set,2000,maroon,https://www.houseofindya.com/gold-kundan-multicolor-stone-earring-necklace-set-290/iprdt
3,Gold Kundan Green Drop Double Orb Earring Necklace Set,2250,green,https://www.houseofindya.com/gold-kundan-green-drop-double-orb-earrinf-necklace-set-290/iprdt
4,Dual Gold Kundan Pearl Earring Necklace Set,2000,red,https://www.houseofindya.com/dual-gold-kundan-pearl-earring-necklace-set-290/iprdt
5,Gold Green Kundan Bead Drop Earring Necklace Set,3750,White,https://www.houseofindya.com/gold-green-kundan-bead-drop-earring-necklace-set-290/iprdt
6,Gold Kundan Pearl Earring Necklace Set,2375,white,https://www.houseofindya.com/gold-kundan-pearl-earring-necklace-set-290/iprdt
7,White Diamond Aqua Drop Earring Necklace Set,2450,blue,https://www.houseofindya.com/white-diamond-aqua-drop-earring-necklace-set-290/iprdt
8,Gold Kundan Red Drop Meena Earring Necklace Set,2250,red,https://www.houseofindya.com/gold-kundan-red-drop-meena-earring-necklace-set-290/iprdt
9,Gold Leaf Kundan Double Pearl Earrings Necklace Set,1750,white,https://www.houseofindya.com/gold-leaf-kundan-double-pearl-earrings-necklace-set-290/iprdt
10,Gold Green Kundan Floral Pendant Necklace Set,2100,green,https://www.houseofindya.com/floral-shaped-kundan-pendant-set-with-green-color-stone.-23/iprdt
11,White Blue Diamond Drop String Earring Necklace Set,2875,blue,https://www.houseofindya.com/white-blue-diamond-drop-string-earring-necklace-set-290/iprdt
12,Blue Bead Kundan Earring Necklace Set,1750,blue,https://www.houseofindya.com/blue-bead-kundan-earring-necklace-set-290/iprdt
13,Gold Kundan Tukdi Earring Necklace Set,2500,white,https://www.houseofindya.com/gold-kundan-tukdi-earring-necklace-set-290/iprdt
14,Gold Maroon Kundan Floral Necklace Set,2250,maroon,https://www.houseofindya.com/gold-plated-single-layer-squre-and-floral-shaped-kundan-necklace-set-23/iprdt
15,Gold Orb Kundan Double Pearl Earrings Necklace Set,1750,white,https://www.houseofindya.com/gold-orb-kundan-double-pearl-earrings-necklace-set-290/iprdt
16,Rose Gold Plated  Crystal Necklace Set,2450,white,https://www.houseofindya.com/rose-gold-plated--crystal-necklace-set-23/iprdt
17,Dual Gold Kundan Green Bead Earring Necklace Set,1750,pink,https://www.houseofindya.com/dual-gold-kundan-green-bead-earring-necklace-set-290/iprdt
18,Gold Red Kundan Bead Earring Necklace Set,1600,red,https://www.houseofindya.com/gold-red-kundan-bead-earring-necklace-set-290/iprdt
19,White Diamond Floral Bunch Earring Necklace Set,2750,white,https://www.houseofindya.com/white-diamond-floral-bunch-earring-necklace-set-290/iprdt
20,Gold Kundan Aqua Stone Floral Pendant Necklace Set,1475,Blue ,https://www.houseofindya.com/floral-shaped-kundan-pendant-set-with-aqua-color-stone.-23/iprdt
21,Gold Kundan Blue Bead Pearl Earring Necklace Set,1750,green,https://www.houseofindya.com/gold-kundan-blue-bead-pearl-earring-necklace-set-290/iprdt
22,Gold Kundan Multi Pearl String Earring Necklace Set,2000,white,https://www.houseofindya.com/gold-kundan-multi-pearl-string-earring-necklace-set-290/iprdt
23,Gold Textured Contemporary Choker Necklace Set,1100,Gold,https://www.houseofindya.com/gold-textured-contemporary-choker-necklace-set-23/iprdt
24,Gold Kundan Blue Bead Earring Necklace Set,1750,blue,https://www.houseofindya.com/gold-kundan-blue-bead-earring-necklace-set-290/iprdt
25,Gold Kundan Green Bead String Earring Necklace Set,2000,green,https://www.houseofindya.com/gold-kundan-green-bead-string-earring-necklace-set-290/iprdt
26,Gold Kundan Cascade Earring Necklace Set,2250,white,https://www.houseofindya.com/gold-kundan-cascade-earring-necklace-set-290/iprdt
27,Gold Kundan Earring Pearl String Pendant Necklace Set,1500,white,https://www.houseofindya.com/gold-kundan-earring-pearl-string-pendant-necklace-set-290/iprdt
28,Gold Kundan Dual Pearl Earring Necklace Set,2000,white,https://www.houseofindya.com/gold-kundan-dual-pearl-earring-necklace-set-290/iprdt
29,Gold Kundan Green Drop Pearl Earring Necklace Set,1750,green,https://www.houseofindya.com/gold-kundan-green-drop-pearl-earring-necklace-set-290/iprdt
30,Silver Oxidized Green Stone Star Earring Necklace Set,1750,green,https://www.houseofindya.com/silver-oxidized-green-stone-star-earring-necklace-set-290/iprdt
31,Gold Kundan Pear Dainty Drop Earrings  Necklace Set,1750,white,https://www.houseofindya.com/gold-kundan-pear-dainty-drop-earrings--necklace-set-290/iprdt
32,Gold Round Kundan Pearl Earring Necklace Set,1750,white,https://www.houseofindya.com/gold-round-kundan-pearl-earring-necklace-set-290/iprdt
33,Gold Kundan Mangtika Earring Necklace Set,3500,white,https://www.houseofindya.com/gold-kundan-mangtika-earring-necklace-set-290/iprdt
